head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,4,0,0,20,92766
0,3,0,0,20,92782
0,3,0,0,20,92799
0,3,0,0,20,92816
0,3,0,0,20,92833
0,3,0,0,20,92851
0,3,0,0,20,92868
0,3,0,0,20,92882
0,3,0,0,20,92899
0,2,0,0,20,92916
0,4,0,0,20,92932
0,2,0,0,20,92949
0,2,0,0,20,92966
0,7,0,0,20,92982
0,3,0,0,20,92999
0,3,0,0,20,93016
0,3,0,0,20,93034
0,3,0,0,20,93049
0,3,0,0,20,93066
0,3,0,0,20,93083
0,3,0,0,20,93099
0,3,0,0,20,93116
0,2,0,0,20,93133
0,2,0,0,20,93149
0,3,0,0,20,93166
0,3,0,0,20,93182
0,3,0,0,20,93200
0,3,0,0,20,93216
0,3,0,0,20,93232
0,3,0,0,20,93249
0,3,0,0,20,93266
0,3,0,0,20,93282
0,3,0,0,20,93299
0,3,0,0,20,93316
0,3,0,0,20,93333
0,3,0,0,20,93349
0,3,0,0,20,93366
0,6,0,0,20,93382
0,0,0,0,20,93399
0,6,0,0,20,93416
0,3,0,0,20,93433
0,3,0,0,20,93449
0,1,0,0,20,93466
0,4,0,0,20,93483
0,5,0,0,20,93499
0,3,0,0,20,93516
0,4,0,0,20,93533
0,3,0,0,20,93549
0,3,0,0,20,93566
0,2,0,0,20,93582
0,3,0,0,20,93599
0,3,0,0,20,93616
0,3,0,0,20,93632
0,3,0,0,20,93649
0,3,0,0,20,93666
0,3,0,0,20,93683
0,3,0,0,20,93699
0,3,0,0,20,93716
0,3,0,0,20,93732
0,3,0,0,20,93749
0,3,0,0,20,93766
0,5,0,0,20,93783
0,0,0,0,20,93799
0,6,0,0,20,93816
0,3,0,0,20,93832
0,3,0,0,20,93849
0,3,0,0,20,93869
0,0,0,0,20,93882
0,6,0,0,20,93899
0,3,0,0,20,93916
0,3,0,0,20,93933
0,3,0,0,20,93949
0,0,0,0,20,93966
0,6,0,0,20,93983
0,3,0,0,20,93999
0,3,0,0,20,94016
0,3,0,0,20,94032
0,3,0,0,20,94049
0,3,0,0,20,94066
0,0,0,0,20,94082
0,3,0,0,20,94099
0,3,0,0,20,94116
0,3,0,0,20,94132
0,3,0,0,20,94149
0,3,0,0,20,94166
0,2,0,0,20,94183
0,0,0,0,20,94199
