head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,reward_x,reward_z,lick_in,ms_now
-3,1,0,0.313527,0.588065,270.537778,0,-0.03275,-0.297673,0,5110
-4,2,0,0.312527,0.588073,269.537778,0,-0.03275,-0.297673,0,5129
-2,0,0,0.312527,0.588073,269.037778,0,-0.03275,-0.297673,0,5143
0,0,0,0.312527,0.588073,269.037778,0,-0.03275,-0.297673,0,5159
0,0,0,0.312527,0.588073,269.037778,0,-0.03275,-0.297673,0,5176
0,0,0,0.312527,0.588073,269.037778,0,-0.03275,-0.297673,0,5192
0,0,0,0.312527,0.588073,269.037778,0,-0.03275,-0.297673,0,5209
0,0,0,0.312527,0.588073,269.037778,0,-0.03275,-0.297673,0,5226
0,0,0,0.312527,0.588073,269.037778,0,-0.03275,-0.297673,0,5243
1,1,0,0.312027,0.588079,269.287778,0,-0.03275,-0.297673,0,5260
3,0,0,0.312027,0.588079,270.037778,0,-0.03275,-0.297673,0,5277
3,2,0,0.311027,0.588065,270.787778,0,-0.03275,-0.297673,0,5294
5,0,0,0.311027,0.588065,272.037778,0,-0.03275,-0.297673,0,5311
5,0,0,0.311027,0.588065,273.287778,0,-0.03275,-0.297673,0,5328
5,-2,0,0.312024,0.588144,274.537778,0,-0.03275,-0.297673,0,5345
5,0,0,0.312024,0.588144,275.787778,0,-0.03275,-0.297673,0,5361
4,-1,0,0.31252,0.588204,276.787778,0,-0.03275,-0.297673,0,5377
8,-1,0,0.313015,0.58828,278.787778,0,-0.03275,-0.297673,0,5394
7,-1,0,0.313506,0.588371,280.537778,0,-0.03275,-0.297673,0,5410
10,-3,0,0.314967,0.58871,283.037778,0,-0.03275,-0.297673,0,5427
7,-2,0,0.315934,0.588965,284.787778,0,-0.03275,-0.297673,0,5444
8,-3,0,0.31737,0.589398,286.787778,0,-0.03275,-0.297673,0,5460
11,-4,0,0.319255,0.590067,289.537778,0,-0.03275,-0.297673,0,5477
8,-3,0,0.320651,0.590618,291.537778,0,-0.03275,-0.297673,0,5494
9,-4,0,0.322481,0.591424,293.787778,0,-0.03275,-0.297673,0,5510
12,-5,0,0.324712,0.592551,296.787778,0,-0.03275,-0.297673,0,5527
8,-4,0,0.326465,0.593514,298.787778,0,-0.03275,-0.297673,0,5544
10,-4,0,0.328174,0.594553,301.287778,0,-0.03275,-0.297673,0,5561
7,-2,0,0.329013,0.595098,303.037778,0,-0.03275,-0.297673,0,5577
5,-2,0,0.329839,0.595661,304.287778,0,-0.03275,-0.297673,0,5594
9,-4,0,0.331446,0.596852,306.537778,0,-0.03275,-0.297673,0,5611
7,-3,0,0.332623,0.597782,308.287778,0,-0.03275,-0.297673,0,5627
10,-3,0,0.333759,0.598762,310.787778,0,-0.03275,-0.297673,0,5644
6,-3,0,0.334868,0.599771,312.287778,0,-0.03275,-0.297673,0,5660
7,-2,0,0.335587,0.600466,314.037778,0,-0.03275,-0.297673,0,5678
9,-3,0,0.336624,0.60155,316.287778,0,-0.03275,-0.297673,0,5694
4,-1,0,0.336963,0.601918,317.287778,0,-0.03275,-0.297673,0,5710
6,-2,0,0.337622,0.60267,318.787778,0,-0.03275,-0.297673,0,5727
9,-3,0,0.338565,0.603836,321.037778,0,-0.03275,-0.297673,0,5743
7,-1,0,0.338868,0.604234,322.787778,0,-0.03275,-0.297673,0,5759
6,-2,0,0.339451,0.605046,324.287778,0,-0.03275,-0.297673,0,5777
1,-1,0,0.339741,0.605454,324.537778,0,-0.03275,-0.297673,0,5793
3,0,0,0.339741,0.605454,325.287778,0,-0.03275,-0.297673,0,5810
3,-1,0,0.340021,0.605868,326.037778,0,-0.03275,-0.297673,0,5827
3,-1,0,0.340295,0.606287,326.787778,0,-0.03275,-0.297673,0,5845
6,-1,0,0.340557,0.606712,328.287778,0,-0.03275,-0.297673,0,5861
4,-2,0,0.341068,0.607572,329.287778,0,-0.03275,-0.297673,0,5877
4,-1,0,0.341316,0.608006,330.287778,0,-0.03275,-0.297673,0,5894
6,-2,0,0.341789,0.608887,331.787778,0,-0.03275,-0.297673,0,5910
5,-1,0,0.342015,0.609333,333.037778,0,-0.03275,-0.297673,0,5927
5,-1,0,0.342232,0.609783,334.287778,0,-0.03275,-0.297673,0,5944
8,-2,0,0.342634,0.610699,336.287778,0,-0.03275,-0.297673,0,5960
5,-1,0,0.342825,0.611161,337.537778,0,-0.03275,-0.297673,0,5977
8,-4,0,0.343525,0.613035,339.537778,0,-0.03275,-0.297673,0,5994
5,-1,0,0.343689,0.613507,340.787778,0,-0.03275,-0.297673,0,6010
4,-1,0,0.343845,0.613982,341.787778,0,-0.03275,-0.297673,0,6027
7,-2,0,0.344129,0.614941,343.537778,0,-0.03275,-0.297673,0,6044
5,-1,0,0.34426,0.615423,344.787778,0,-0.03275,-0.297673,0,6061
8,-1,0,0.344374,0.61591,346.787778,0,-0.03275,-0.297673,0,6078
5,-2,0,0.344582,0.616888,348.037778,0,-0.03275,-0.297673,0,6094
3,-1,0,0.344679,0.617379,348.787778,0,-0.03275,-0.297673,0,6111
