head_yaw,head_thrust,head_slip,cur_wavelength,rotation_direction,ms_now
0,0,0,12,-1,5769
0,0,0,12,-1,5786
0,0,0,12,-1,5802
0,0,0,12,-1,5819
0,0,0,12,-1,5836
0,0,0,12,-1,5852
0,0,0,12,-1,5869
0,0,0,12,-1,5886
0,0,0,12,-1,5902
0,0,0,12,-1,5919
0,0,0,12,-1,5936
0,0,0,12,-1,5952
0,0,0,0,-1,5968
0,0,0,0,-1,5986
0,0,0,0,-1,6003
0,0,0,0,-1,6019
0,0,0,0,-1,6035
0,0,0,0,-1,6051
0,0,0,0,-1,6069
0,0,0,0,-1,6086
0,0,0,0,-1,6102
0,0,0,0,-1,6119
0,0,0,0,-1,6135
0,0,0,0,-1,6152
0,0,0,0,-1,6169
0,0,0,0,-1,6185
0,0,0,0,-1,6202
0,0,0,0,-1,6219
0,0,0,0,-1,6235
0,0,0,0,-1,6253
0,0,0,0,-1,6269
0,0,0,0,-1,6285
0,0,0,0,-1,6302
0,0,0,0,-1,6319
0,0,0,0,-1,6335
0,0,0,0,-1,6352
0,0,0,0,-1,6369
0,0,0,0,-1,6386
0,0,0,0,-1,6402
0,0,0,0,-1,6419
0,0,0,0,-1,6436
0,0,0,0,-1,6453
0,0,0,0,-1,6468
0,0,0,0,-1,6485
0,0,0,0,-1,6501
0,0,0,0,-1,6518
0,0,0,0,-1,6536
0,0,0,0,-1,6552
0,0,0,0,-1,6569
0,0,0,0,-1,6585
0,0,0,0,-1,6602
0,0,0,0,-1,6618
0,0,0,0,-1,6635
0,0,0,0,-1,6652
0,0,0,0,-1,6669
0,0,0,0,-1,6685
0,0,0,0,-1,6703
0,0,0,0,-1,6719
0,0,0,0,-1,6735
0,0,0,0,-1,6753
0,0,0,0,-1,6768
0,0,0,0,-1,6786
0,0,0,0,-1,6802
0,0,0,0,-1,6819
0,0,0,0,-1,6836
0,0,0,0,-1,6853
0,0,0,0,-1,6869
0,0,0,0,-1,6885
0,0,0,0,-1,6903
0,0,0,0,-1,6918
0,0,0,0,-1,6935
0,0,0,0,-1,6952
0,0,0,0,-1,6969
0,0,0,0,-1,6986
0,0,0,0,-1,7002
0,0,0,0,-1,7019
0,0,0,0,-1,7035
0,0,0,0,-1,7053
0,0,0,0,-1,7068
0,0,0,0,-1,7085
0,0,0,0,-1,7103
0,0,0,0,-1,7119
0,0,0,0,-1,7136
