head_yaw,head_thrust,head_slip,reward_out,lick_in,ms_now
0,0,0,0,0,4630
0,1,0,0,0,4646
0,1,0,0,0,4662
0,0,0,0,0,4679
0,0,0,0,0,4697
0,1,0,0,0,4712
0,0,0,0,0,4728
0,0,0,0,0,4746
0,1,0,0,0,4763
0,0,0,0,0,4779
0,0,0,0,0,4796
0,0,0,0,0,4813
0,1,0,0,0,4829
0,2,0,0,0,4846
0,0,0,0,0,4863
0,1,0,0,0,4883
0,0,0,0,0,4896
0,1,0,0,0,4914
0,0,0,0,0,4929
0,0,0,0,0,4946
0,0,0,0,0,4961
0,1,0,0,0,4978
0,0,0,0,0,4995
0,1,0,0,0,5011
0,0,0,0,0,5028
0,0,0,0,0,5045
0,1,0,0,0,5062
0,0,0,0,0,5079
0,1,0,0,0,5096
0,1,0,0,0,5112
0,1,0,0,0,5130
0,2,0,0,0,5145
0,1,0,0,0,5164
0,0,0,0,0,5184
0,0,0,0,0,5196
0,0,0,0,0,5213
0,1,0,0,0,5230
0,0,0,0,0,5246
0,0,0,0,0,5263
0,0,0,0,0,5280
0,0,0,0,0,5295
0,0,0,0,0,5311
0,0,0,0,0,5328
0,0,0,0,0,5345
0,0,0,0,0,5362
0,0,0,0,0,5382
0,1,0,0,0,5396
0,1,0,0,0,5413
0,1,0,0,0,5429
0,0,0,0,0,5445
0,0,0,0,0,5462
0,-1,0,0,0,5480
0,0,0,0,0,5495
0,-1,0,0,0,5512
0,0,0,0,0,5530
0,-1,0,0,0,5545
0,0,0,0,0,5562
0,0,0,0,0,5582
0,-1,0,0,0,5596
0,-1,0,0,0,5611
0,-2,0,0,0,5629
0,0,0,0,0,5645
0,-1,0,0,0,5662
0,0,0,0,0,5681
0,-1,0,0,0,5696
0,0,0,0,0,5712
0,-1,0,0,0,5729
0,0,0,0,0,5746
0,0,0,0,0,5763
0,0,0,0,0,5779
0,0,0,0,0,5797
0,0,0,0,0,5814
0,0,0,0,0,5829
0,0,0,0,0,5846
0,0,0,0,0,5866
0,0,0,0,0,5880
0,1,0,0,0,5896
0,0,0,0,0,5913
0,0,0,0,0,5930
0,1,0,0,0,5946
0,0,0,0,0,5963
0,1,0,0,0,5980
0,0,0,0,0,5996
0,0,0,0,0,6012
0,0,0,0,0,6029
0,2,0,0,0,6045
0,1,0,0,0,6060
0,0,0,0,0,6077
0,0,0,0,0,6095
0,2,0,0,0,6116
0,0,0,0,0,6130
0,1,0,0,0,6146
0,1,0,0,0,6164
0,1,0,0,0,6180
0,1,0,0,0,6196
0,1,0,0,0,6213
0,0,0,0,0,6229
0,2,0,0,0,6249
0,0,0,0,0,6262
0,1,0,0,0,6279
0,0,0,0,0,6301
0,0,0,0,0,6312
0,0,0,0,0,6329
0,1,0,0,0,6346
0,0,0,0,0,6362
0,0,0,0,0,6379
0,1,0,0,0,6395
0,0,0,0,0,6411
0,0,0,0,0,6427
