head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,lick_in,loom_cur_distance,ms_now
0,0,0,0.5,0.11313,180,0,0,5.833333,4025
0,0,0,0.5,0.11313,180,0,0,5.416667,4042
0,0,0,0.5,0.11313,180,0,0,5,4058
0,0,0,0.5,0.11313,180,0,0,4.583333,4075
0,0,0,0.5,0.11313,180,0,0,4.166667,4092
0,0,0,0.5,0.11313,180,0,0,3.75,4108
0,0,0,0.5,0.11313,180,0,0,3.333333,4125
0,0,0,0.5,0.11313,180,0,0,2.916667,4142
0,0,0,0.5,0.11313,180,0,0,2.5,4159
0,0,0,0.5,0.11313,180,0,0,2.083333,4175
0,0,0,0.5,0.11313,180,0,0,1.666667,4192
0,0,0,0.5,0.11313,180,0,0,1.25,4208
0,0,0,0.5,0.11313,180,0,0,0.833333,4225
0,0,0,0.5,0.11313,180,0,0,0.5774,4242
0,0,0,0.5,0.11313,180,0,0,0.5774,4258
0,0,0,0.5,0.11313,180,0,0,0.5774,4275
0,0,0,0.5,0.11313,180,0,0,0.5774,4292
0,0,0,0.5,0.11313,180,0,0,0.5774,4308
0,0,0,0.5,0.11313,180,0,0,0.5774,4325
0,0,0,0.5,0.11313,180,0,0,0.5774,4342
0,0,0,0.5,0.11313,180,0,0,0.5774,4358
0,0,0,0.5,0.11313,180,0,0,0.5774,4375
0,0,0,0.5,0.11313,180,0,0,0.5774,4392
0,0,0,0.5,0.11313,180,0,0,0.5774,4408
0,0,0,0.5,0.11313,180,0,0,0.5774,4425
0,0,0,0.5,0.11313,180,0,0,0.5774,4442
0,0,0,0.5,0.11313,180,0,0,0.5774,4458
0,0,0,0.5,0.11313,180,0,0,0.5774,4475
0,0,0,0.5,0.11313,180,0,0,0.5774,4492
0,0,0,0.5,0.11313,180,0,0,0.5774,4508
0,0,0,0.5,0.11313,180,0,0,0.5774,4525
0,0,0,0.5,0.11313,180,0,0,0.5774,4542
0,0,0,0.5,0.11313,180,0,0,0.5774,4558
0,0,0,0.5,0.11313,180,0,0,0.5774,4575
0,0,0,0.5,0.11313,180,0,0,0.5774,4592
0,0,0,0.5,0.11313,180,0,0,0.5774,4609
0,0,0,0.5,0.11313,180,0,0,0.5774,4625
0,0,0,0.5,0.11313,180,0,0,0.5774,4642
0,0,0,0.5,0.11313,180,0,0,0.5774,4658
0,0,0,0.5,0.11313,180,0,0,0.5774,4675
0,0,0,0.5,0.11313,180,0,0,0.5774,4692
0,0,0,0.5,0.11313,180,0,0,0.5774,4708
0,0,0,0.5,0.11313,180,0,0,0.5774,4725
0,0,0,0.5,0.11313,180,0,0,0.5774,4742
0,0,0,0.5,0.11313,180,0,0,0.5774,4758
0,0,0,0.5,0.11313,180,0,0,0.5774,4776
-1,6,0,0.5,0.11394,180,0,0,0.5774,4792
-2,12,0,0.5,0.11556,180,0,0,0.5774,4809
-4,17,0,0.5,0.117855,180,0,0,0.5774,4826
-3,13,0,0.5,0.11961,180,0,0,0.5774,4843
-6,20,0,0.5,0.12231,180,0,0,0.5774,4859
-4,15,0,0.5,0.124335,180,0,0,0.5774,4875
-3,15,0,0.5,0.12636,180,0,0,0.5774,4893
-7,27,0,0.5,0.130005,180,0,0,0.5774,4909
-4,15,0,0.5,0.13203,180,0,0,0.5774,4925
-3,17,0,0.5,0.134325,180,0,0,0.5774,4943
-8,27,0,0.5,0.13797,180,0,0,0.5774,4959
-4,19,0,0.5,0.140535,180,0,0,0.5774,4976
-7,29,0,0.5,0.14445,180,0,0,0.5774,4992
-3,20,0,0.5,0.14715,180,0,0,0.5774,5008
-6,21,0,0.5,0.149985,180,0,0,0.5774,5026
-8,35,0,0.5,0.15471,180,0,0,0.5774,5043
-3,26,0,0.5,0.15822,180,0,0,0.5774,5058
-7,40,0,0.5,0.16362,180,0,0,0.5774,5076
-4,27,0,0.5,0.167265,180,0,0,0.5774,5092
-4,29,0,0.5,0.17118,180,0,0,0.5774,5109
